county_geoid,median_income,population,households,year,income_source,population_source,households_source
49003,54670.0,47897.0,15391.0,2009,acs,acs,acs
49003,55135.0,48221.0,15612.0,2010,acs,acs,acs
49003,55588.0,49093.0,15891.0,2011,acs,acs,acs
49003,55918.0,49660.0,16117.0,2012,acs,acs,acs
49003,57292.0,50160.0,16207.0,2013,acs,acs,acs
49003,57336.0,50613.0,16223.0,2014,acs,acs,acs
49003,55038.0,50991.0,16404.0,2015,acs,acs,acs
49003,55514.0,51528.0,16655.0,2016,acs,acs,acs
49003,58835.0,52182.0,17035.0,2017,acs,acs,acs
49003,59937.0,53001.0,17302.0,2018,acs,acs,acs
49003,62233.0,53946.0,17569.0,2019,acs,acs,acs
49003,63573.0,54953.0,17811.0,2020,acs,acs,acs
49003,67486.0,56891.0,18194.0,2021,acs,acs,acs
49003,72769.0,58291.0,18557.0,2022,acs,acs,acs
49003,77865.0,59725.0,19150.0,2023,acs,acs,acs
49003,84550.0,61246.0,19557.0,2024,acs,acs,acs
49011,65892.0,286502.0,87074.0,2009,acs,acs,acs
49011,66866.0,294532.0,90607.0,2010,acs,acs,acs
49011,69147.0,301124.0,92652.0,2011,acs,acs,acs
49011,69355.0,306664.0,94149.0,2012,acs,acs,acs
49011,69707.0,311886.0,95238.0,2013,acs,acs,acs
49011,70388.0,317646.0,96711.0,2014,acs,acs,acs
49011,71112.0,323374.0,97910.0,2015,acs,acs,acs
49011,72661.0,329292.0,99495.0,2016,acs,acs,acs
49011,75961.0,334977.0,101422.0,2017,acs,acs,acs
49011,79690.0,340621.0,102865.0,2018,acs,acs,acs
49011,83310.0,345767.0,104551.0,2019,acs,acs,acs
49011,87570.0,350761.0,107104.0,2020,acs,acs,acs
49011,92765.0,358831.0,109899.0,2021,acs,acs,acs
49011,101285.0,363032.0,112155.0,2022,acs,acs,acs
49011,108058.0,366742.0,114674.0,2023,acs,acs,acs
49011,110884.0,370924.0,115919.0,2024,acs,acs,acs
49035,56948.0,1000299.0,329748.0,2009,acs,acs,acs
49035,58004.0,1000155.0,335075.0,2010,acs,acs,acs
49035,59168.0,1016455.0,339035.0,2011,acs,acs,acs
49035,59626.0,1032226.0,341841.0,2012,acs,acs,acs
49035,60555.0,1048314.0,344089.0,2013,acs,acs,acs
49035,61446.0,1063670.0,348110.0,2014,acs,acs,acs
49035,62117.0,1078958.0,351892.0,2015,acs,acs,acs
49035,64601.0,1092518.0,356061.0,2016,acs,acs,acs
49035,67922.0,1106700.0,363058.0,2017,acs,acs,acs
49035,71230.0,1120805.0,369429.0,2018,acs,acs,acs
49035,74865.0,1133646.0,374820.0,2019,acs,acs,acs
49035,77128.0,1146215.0,383324.0,2020,acs,acs,acs
49035,82206.0,1173331.0,399584.0,2021,acs,acs,acs
49035,90011.0,1180643.0,407673.0,2022,acs,acs,acs
49035,94658.0,1184689.0,416589.0,2023,acs,acs,acs
49035,97494.0,1196523.0,426245.0,2024,acs,acs,acs
49049,56752.0,504990.0,129730.0,2009,acs,acs,acs
49049,56927.0,486067.0,135620.0,2010,acs,acs,acs
49049,59338.0,502465.0,138804.0,2011,acs,acs,acs
49049,59864.0,516571.0,141252.0,2012,acs,acs,acs
49049,60196.0,529262.0,143005.0,2013,acs,acs,acs
49049,60830.0,540425.0,145469.0,2014,acs,acs,acs
49049,62180.0,551957.0,148464.0,2015,acs,acs,acs
49049,64321.0,564177.0,151342.0,2016,acs,acs,acs
49049,67042.0,576496.0,155664.0,2017,acs,acs,acs
49049,70408.0,590440.0,160649.0,2018,acs,acs,acs
49049,74665.0,605490.0,165991.0,2019,acs,acs,acs
49049,77057.0,621506.0,171899.0,2020,acs,acs,acs
49049,82893.0,648265.0,179387.0,2021,acs,acs,acs
49049,91263.0,666021.0,187171.0,2022,acs,acs,acs
49049,96877.0,683622.0,195602.0,2023,acs,acs,acs
49049,100671.0,705400.0,203018.0,2024,acs,acs,acs
49057,53471.0,221981.0,75021.0,2009,acs,acs,acs
49057,54086.0,222849.0,77656.0,2010,acs,acs,acs
49057,54666.0,227199.0,78814.0,2011,acs,acs,acs
49057,54923.0,230940.0,79601.0,2012,acs,acs,acs
49057,54974.0,233871.0,79525.0,2013,acs,acs,acs
49057,56216.0,236307.0,79860.0,2014,acs,acs,acs
49057,56581.0,238682.0,80137.0,2015,acs,acs,acs
49057,59660.0,241328.0,80159.0,2016,acs,acs,acs
49057,62036.0,244101.0,81298.0,2017,acs,acs,acs
49057,64636.0,247731.0,82417.0,2018,acs,acs,acs
49057,67244.0,251498.0,83632.0,2019,acs,acs,acs
49057,71275.0,255284.0,85205.0,2020,acs,acs,acs
49057,74345.0,259390.0,87802.0,2021,acs,acs,acs
49057,82291.0,262960.0,89990.0,2022,acs,acs,acs
49057,87083.0,266183.0,92353.0,2023,acs,acs,acs
49057,90005.0,269648.0,94125.0,2024,acs,acs,acs
