blkgrp2,blkgrp,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
4.90211E+11,"""490211104003""","""Cedar City, UT""",1,975,256,79.02,55,67,46,26,32,21,29,34,24,8.88,28.76,2.01,2,2,20389,19373,20467,0,0,0,15268,14221,15331,11995,11110,12047,3265,3103,3277,8,8,7,9,10,8,5.9,2.8,3.7,3.24,5046,80,6915,84,6,267,702,1116,1375,862,50,50
4.90211E+11,"""490211106002""","""Cedar City, UT""",1,870,410,180.77,44,52,36,18,23,15,25,29,21,6.07,13.76,1.72,2,2,17934,17035,17871,0,0,0,13183,12147,13294,10304,9410,10426,2872,2728,2861,8,8,7,10,10,8,6.5,2.8,3.39,2.27,4367,56,6834,84,11,127,906,789,953,728,39,61
4.90211E+11,"""490211107021""","""Cedar City, UT""",1,1600,539,99417.34,62,74,51,26,33,22,36,41,29,13.16,0.07,2.26,2,2,31326,30579,30394,0,0,0,18520,17198,18505,13498,12294,13633,5016,4898,4866,7,6,6,8,8,7,0.1,0.9,0.35,0.01,923,87,871,86,473,3,4433,1137,1181,641,93,7
4.90211E+11,"""490211107012""","""Cedar City, UT""",1,3952,1292,1080.45,65,79,54,34,42,28,31,37,26,10.17,12.16,2.09,2,2,23845,23696,23027,0,0,0,16310,15194,16257,12483,11389,12562,3818,3795,3687,9,9,8,12,12,11,3.4,1.5,1.85,1.2,4337,87,4615,86,18,99,1119,1450,1533,788,89,11
4.90211E+11,"""490211104004""","""Cedar City, UT""",1,1580,541,334.24,56,67,46,27,34,22,29,33,24,9.13,14.77,1.94,2,2,20524,19624,20426,0,0,0,14889,13802,14954,11594,10650,11676,3286,3143,3270,8,9,8,11,11,9,6.3,2.2,4.12,1.62,4224,60,5235,85,10,157,913,1175,1415,641,70,30
4.90211E+11,"""490211101001""","""Cedar City, UT""",1,645,231,210564.09,61,73,50,25,31,20,37,42,30,13.77,0.02,2.28,2,2,33051,32113,32106,0,0,0,18915,17570,18895,13618,12423,13750,5292,5143,5141,5,5,4,6,6,5,0.1,0.3,0.46,0,521,94,413,88,596,3,5136,1064,1095,950,82,18
4.90211E+11,"""490211102002""","""Cedar City, UT""",1,1571,494,1517.36,60,72,50,26,32,21,34,40,28,11.44,3.73,2.27,2,2,26481,25495,26232,0,0,0,17852,16644,17866,13606,12555,13660,4240,4084,4200,6,5,5,7,7,6,2.2,0.7,0.82,0.33,2021,85,1897,87,47,40,1713,1107,1146,907,85,15
4.90211E+11,"""490211106001""","""Cedar City, UT""",1,956,429,133.68,38,45,31,13,16,10,25,29,21,5.84,18.73,1.68,2,2,18206,17269,18217,0,0,0,12987,11999,13119,10063,9224,10194,2915,2766,2917,9,9,8,11,12,9,8.1,2.7,4.01,3.21,5023,27,7313,84,8,154,748,542,,650,38,62
4.90211E+11,"""490211104001""","""Cedar City, UT""",1,1088,432,260.58,41,49,34,16,20,13,25,29,21,6.49,10.76,1.67,2,2,18735,18369,18227,0,1,0,13007,12036,13059,9997,9084,10132,3000,2942,2918,10,10,8,12,13,10,6.5,2.7,3.94,1.66,5659,57,7527,84,9,157,829,704,895,637,40,60
4.90211E+11,"""490211106004""","""Cedar City, UT""",1,825,341,126.49,51,61,42,26,32,21,25,29,21,,,1.69,2,2,17446,16573,17367,0,0,0,12914,11884,13025,10112,9221,10237,2793,2654,2781,8,9,7,10,11,9,7.1,2.8,4.77,2.7,4463,52,6611,84,8,198,769,1118,1788,711,44,56
4.90211E+11,"""490211105001""","""Cedar City, UT""",1,1839,541,396.57,52,62,43,27,33,22,25,29,21,7.83,10.69,1.7,2,2,17302,16519,17059,0,0,0,12925,11853,13027,10146,9199,10289,2770,2646,2731,8,9,7,10,11,9,7.1,2.4,3.93,1.36,3113,45,3633,84,10,178,925,1150,1560,647,62,38
4.90211E+11,"""490211102004""","""Cedar City, UT""",1,1978,472,1481.52,60,72,49,25,32,21,34,40,28,12.03,3.83,2.28,2,2,26073,25054,25906,0,0,0,17830,16669,17836,13650,12652,13684,4175,4013,4148,5,5,5,6,6,6,3.2,0.7,1.34,0.32,1866,84,1702,87,24,43,1239,1090,1069,1259,90,10
4.90211E+11,"""490211105004""","""Cedar City, UT""",1,1708,630,326.69,47,56,39,19,24,16,28,32,23,7.76,14.96,1.88,2,2,19770,18858,19748,0,0,0,14445,13413,14528,11270,10382,11358,3166,3020,3162,9,10,8,12,12,10,6,3.1,3.73,1.93,5362,59,7090,83,13,129,985,826,977,724,47,53
4.90211E+11,"""490211107011""","""Cedar City, UT""",1,2611,938,6345.43,55,66,46,25,31,20,31,36,25,9.78,1.45,2.02,2,2,23496,22554,23283,0,0,0,15878,14750,15951,12109,11131,12217,3762,3612,3728,7,7,6,8,8,8,3.7,1.3,1.55,0.15,2738,50,3793,86,70,24,1911,1067,1212,866,61,39
4.90211E+11,"""490211105002""","""Cedar City, UT""",1,1959,677,30179.06,60,72,50,28,35,23,32,37,26,10.68,0.24,2.05,2,2,25777,25004,25089,0,0,0,16395,15147,16441,12261,11136,12418,4127,4005,4017,7,7,6,9,8,8,1.5,1.1,1.21,0.02,1420,57,2685,86,299,6,2791,1224,1448,650,75,25
4.90211E+11,"""490211104002""","""Cedar City, UT""",1,833,237,73.75,47,57,39,19,23,15,29,33,24,9.07,29.16,1.89,2,2,21925,21629,21388,0,0,0,14816,13858,14827,11296,10383,11393,3511,3464,3425,10,10,9,12,13,11,6.9,2.7,3.68,3.21,5366,50,7304,84,11,182,1062,810,994,625,59,41
