tract_geoid,median_income,population,households,year,income_source,population_source,households_source
49003960100,53561.0,2739.0,866.0,2009,acs,acs,acs
49003960100,55603.0,2741.0,874.0,2010,acs,acs,acs
49003960100,56107.0,3049.0,895.0,2011,acs,acs,acs
49003960100,56950.0,2890.0,913.0,2012,acs,acs,acs
49003960100,57907.0,3019.0,920.0,2013,acs,acs,acs
49003960100,60639.0,2908.0,919.0,2014,acs,acs,acs
49003960100,59022.0,2895.0,924.0,2015,acs,acs,acs
49003960100,60181.0,2879.0,927.0,2016,acs,acs,acs
49003960100,61350.0,2919.0,963.0,2017,acs,acs,acs
49003960100,63833.0,2989.0,974.0,2018,acs,acs,acs
49003960100,63815.0,3265.0,1015.0,2019,acs,acs,acs
49003960100,67297.0,3417.0,1028.0,2020,acs,acs,acs
49003960100,76298.0,4259.0,1119.0,2021,acs,acs,acs
49003960100,81406.0,4087.0,1074.0,2022,acs,acs,acs
49003960100,87091.0,4055.0,1116.0,2023,acs,acs,acs
49003960100,91017.0,4043.0,1209.0,2024,acs,acs,acs
49003960200,54012.0,6399.0,2009.0,2009,acs,acs,acs
49003960200,54368.0,6528.0,2050.0,2010,acs,acs,acs
49003960200,54018.0,6692.0,2164.0,2011,acs,acs,acs
49003960200,56732.0,6582.0,2155.0,2012,acs,acs,acs
49003960200,55717.0,6534.0,2163.0,2013,acs,acs,acs
49003960200,58420.0,6801.0,2197.0,2014,acs,acs,acs
49003960200,59044.0,7028.0,2308.0,2015,acs,acs,acs
49003960200,61372.0,7167.0,2262.0,2016,acs,acs,acs
49003960200,64196.0,7499.0,2347.0,2017,acs,acs,acs
49003960200,67225.0,7947.0,2461.0,2018,acs,acs,acs
49003960200,67370.0,7929.0,2417.0,2019,acs,acs,acs
49003960200,68940.0,7961.0,2434.0,2020,acs,acs,acs
49003960200,75000.0,8037.0,2456.0,2021,acs,acs,acs
49003960200,75645.0,8162.0,2375.0,2022,acs,acs,acs
49003960200,78497.0,8156.0,2455.0,2023,acs,acs,acs
49003960200,85393.0,8178.0,2451.0,2024,acs,acs,acs
49003960300,55282.0,7179.0,2246.0,2009,acs,acs,acs
49003960300,56357.0,7650.0,2388.0,2010,acs,acs,acs
49003960300,52852.0,7563.0,2418.0,2011,acs,acs,acs
49003960300,52475.0,7951.0,2517.0,2012,acs,acs,acs
49003960300,54655.0,8074.0,2635.0,2013,acs,acs,acs
49003960300,53162.0,8256.0,2597.0,2014,acs,acs,acs
49003960300,45987.0,8383.0,2641.0,2015,acs,acs,acs
49003960300,49053.0,8905.0,2594.0,2016,acs,acs,acs
49003960300,50866.0,8887.0,2664.0,2017,acs,acs,acs
49003960300,49552.0,8810.0,2681.0,2018,acs,acs,acs
49003960300,52283.0,8960.0,2818.0,2019,acs,acs,acs
49003960301,54508.0,3696.0,1366.0,2020,acs,acs,acs
49003960301,63245.0,4024.0,1441.0,2021,acs,acs,acs
49003960301,69743.0,4356.0,1488.0,2022,acs,acs,acs
49003960301,77872.0,5090.0,1558.0,2023,acs,acs,acs
49003960301,77917.0,5334.0,1617.0,2024,acs,acs,acs
49003960302,59693.0,5611.0,1781.0,2020,acs,acs,acs
49003960302,59697.0,5607.0,1924.0,2021,acs,acs,acs
49003960302,61940.0,6022.0,2042.0,2022,acs,acs,acs
49003960302,70518.0,6107.0,2146.0,2023,acs,acs,acs
49003960302,72692.0,6586.0,2284.0,2024,acs,acs,acs
49003960400,53527.0,4784.0,1526.0,2009,acs,acs,acs
49003960400,54786.0,4971.0,1524.0,2010,acs,acs,acs
49003960400,58419.0,4944.0,1527.0,2011,acs,acs,acs
49003960400,58636.0,5133.0,1570.0,2012,acs,acs,acs
49003960400,61767.0,5061.0,1591.0,2013,acs,acs,acs
49003960400,62824.0,5030.0,1551.0,2014,acs,acs,acs
49003960400,61750.0,4770.0,1524.0,2015,acs,acs,acs
49003960400,61797.0,4628.0,1518.0,2016,acs,acs,acs
49003960400,58828.0,4738.0,1582.0,2017,acs,acs,acs
49003960400,64648.0,4551.0,1535.0,2018,acs,acs,acs
49003960400,63203.0,4913.0,1589.0,2019,acs,acs,acs
49003960400,68413.0,5116.0,1572.0,2020,acs,acs,acs
49003960400,72529.0,5239.0,1561.0,2021,acs,acs,acs
49003960400,75777.0,5272.0,1655.0,2022,acs,acs,acs
49003960400,80656.0,5370.0,1669.0,2023,acs,acs,acs
49003960400,92708.0,5492.0,1676.0,2024,acs,acs,acs
49003960500,47336.0,5102.0,1749.0,2009,acs,acs,acs
49003960500,50161.0,5141.0,1700.0,2010,acs,acs,acs
49003960500,52792.0,5004.0,1685.0,2011,acs,acs,acs
49003960500,53860.0,4939.0,1644.0,2012,acs,acs,acs
49003960500,61815.0,5143.0,1635.0,2013,acs,acs,acs
49003960500,62450.0,5039.0,1646.0,2014,acs,acs,acs
49003960500,58574.0,4994.0,1631.0,2015,acs,acs,acs
49003960500,54646.0,5077.0,1695.0,2016,acs,acs,acs
49003960500,53802.0,5058.0,1728.0,2017,acs,acs,acs
49003960500,54043.0,5423.0,1784.0,2018,acs,acs,acs
